treatment,treatment_slug,diagnosis_category,diagnosis_slug,decisions,overturned,overturn_rate,year_min,year_max,medical_necessity,experimental,urgent,decisions_last_5y,overturned_last_5y,apellica_page
Wearable Cardio Defib,wearable-cardio-defib,Cardiac/Circ Problem,cardiac-circ-problem,53,34,0.6415,2019,2025,7,46,0,38,26,https://apellica.com/appeal-outcomes/california-imr/wearable-cardio-defib/cardiac-circ-problem
Other,other,Chron Pain Synd,chron-pain-synd,52,13,0.2500,2002,2018,41,11,0,0,0,https://apellica.com/appeal-outcomes/california-imr/other/chron-pain-synd
Speech Therapy,speech-therapy,CNS/ Neuromusc Dis,cns-neuromusc-dis,52,35,0.6731,2002,2020,47,5,0,0,0,https://apellica.com/appeal-outcomes/california-imr/speech-therapy/cns-neuromusc-dis
General Anesthesia,general-anesthesia,Prevention/Good Hlth,prevention-good-hlth,51,12,0.2353,2010,2024,51,0,0,14,4,https://apellica.com/appeal-outcomes/california-imr/general-anesthesia/prevention-good-hlth
Breast reduction,breast-reduction,OB-GYN/ Pregnancy,ob-gyn-pregnancy,51,30,0.5882,2002,2019,51,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/breast-reduction/ob-gyn-pregnancy
Colonoscopy/Sigmoid,colonoscopy-sigmoid,Digestive System/ GI,digestive-system-gi,50,21,0.4200,2005,2024,44,4,2,11,7,https://apellica.com/appeal-outcomes/california-imr/colonoscopy-sigmoid/digestive-system-gi
Other,other,Prevention/Good Hlth,prevention-good-hlth,49,20,0.4082,2001,2021,27,22,0,2,0,https://apellica.com/appeal-outcomes/california-imr/other/prevention-good-hlth
Anti-inflammatories,anti-inflammatories,Immuno Disorders,immuno-disorders,49,23,0.4694,2003,2025,44,5,0,21,12,https://apellica.com/appeal-outcomes/california-imr/anti-inflammatories/immuno-disorders
Cardiac Rx,cardiac-rx,Endocrine/Metabolic,endocrine-metabolic,49,18,0.3673,2009,2025,47,2,0,35,12,https://apellica.com/appeal-outcomes/california-imr/cardiac-rx/endocrine-metabolic
C-Pap Machine,c-pap-machine,Respiratory System,respiratory-system,48,24,0.5000,2002,2018,46,2,0,0,0,https://apellica.com/appeal-outcomes/california-imr/c-pap-machine/respiratory-system
Wheelchair,wheelchair,Orth/Musculoskeletal,orth-musculoskeletal,48,7,0.1458,2002,2025,48,0,0,6,1,https://apellica.com/appeal-outcomes/california-imr/wheelchair/orth-musculoskeletal
Physical Therapy,physical-therapy,CNS/ Neuromusc Dis,cns-neuromusc-dis,47,20,0.4255,2002,2025,42,5,0,9,4,https://apellica.com/appeal-outcomes/california-imr/physical-therapy/cns-neuromusc-dis
Inpt Admission,inpt-admission,CNS/ Neuromusc Dis,cns-neuromusc-dis,47,11,0.2340,2002,2025,46,1,0,8,2,https://apellica.com/appeal-outcomes/california-imr/inpt-admission/cns-neuromusc-dis
Facial Feminization Surgery,facial-feminization-surgery,Mental Disorder,mental-disorder,47,42,0.8936,2019,2025,47,0,0,11,8,https://apellica.com/appeal-outcomes/california-imr/facial-feminization-surgery/mental-disorder
Asthma Rx,asthma-rx,Respiratory System,respiratory-system,46,31,0.6739,2019,2025,45,1,0,33,23,https://apellica.com/appeal-outcomes/california-imr/asthma-rx/respiratory-system
Bariatric Surgery,bariatric-surgery,Endocrine/Metabolic,endocrine-metabolic,46,28,0.6087,2003,2026,36,10,0,33,21,https://apellica.com/appeal-outcomes/california-imr/bariatric-surgery/endocrine-metabolic
Electric Wheelchair,electric-wheelchair,Orth/Musculoskeletal,orth-musculoskeletal,44,6,0.1364,2005,2025,44,0,0,10,2,https://apellica.com/appeal-outcomes/california-imr/electric-wheelchair/orth-musculoskeletal
Liposuction,liposuction,Endocrine/Metabolic,endocrine-metabolic,43,20,0.4651,2002,2025,41,2,0,28,12,https://apellica.com/appeal-outcomes/california-imr/liposuction/endocrine-metabolic
Electric Scooter,electric-scooter,Orth/Musculoskeletal,orth-musculoskeletal,43,4,0.0930,2002,2025,43,0,0,7,0,https://apellica.com/appeal-outcomes/california-imr/electric-scooter/orth-musculoskeletal
Heart Monitor,heart-monitor,Cardiac/Circ Problem,cardiac-circ-problem,43,11,0.2558,2011,2025,10,33,0,24,7,https://apellica.com/appeal-outcomes/california-imr/heart-monitor/cardiac-circ-problem
Elect Bone Stim,elect-bone-stim,Orth/Musculoskeletal,orth-musculoskeletal,42,13,0.3095,2002,2025,18,24,0,8,1,https://apellica.com/appeal-outcomes/california-imr/elect-bone-stim/orth-musculoskeletal
Sedatives/ Hypnotics,sedatives-hypnotics,CNS/ Neuromusc Dis,cns-neuromusc-dis,42,18,0.4286,2006,2025,42,0,0,21,10,https://apellica.com/appeal-outcomes/california-imr/sedatives-hypnotics/cns-neuromusc-dis
MRI,mri,GU/ Kidney Disorder,gu-kidney-disorder,42,18,0.4286,2010,2025,27,15,0,30,13,https://apellica.com/appeal-outcomes/california-imr/mri/gu-kidney-disorder
Emergency Room,emergency-room,Respiratory System,respiratory-system,42,16,0.3810,2008,2025,0,0,42,2,1,https://apellica.com/appeal-outcomes/california-imr/emergency-room/respiratory-system
Compression Garments,compression-garments,Cardiac/Circ Problem,cardiac-circ-problem,42,18,0.4286,2002,2025,27,15,0,18,9,https://apellica.com/appeal-outcomes/california-imr/compression-garments/cardiac-circ-problem
Radiofreq Ablat,radiofreq-ablat,Cardiac/Circ Problem,cardiac-circ-problem,41,20,0.4878,2003,2025,19,22,0,10,6,https://apellica.com/appeal-outcomes/california-imr/radiofreq-ablat/cardiac-circ-problem
CT Scan,ct-scan,Orth/Musculoskeletal,orth-musculoskeletal,41,15,0.3659,2002,2025,38,3,0,13,6,https://apellica.com/appeal-outcomes/california-imr/ct-scan/orth-musculoskeletal
CT Scan,ct-scan,Cancer,cancer,40,19,0.4750,2003,2025,34,6,0,14,6,https://apellica.com/appeal-outcomes/california-imr/ct-scan/cancer
Fract/Bone Repair,fract-bone-repair,Orth/Musculoskeletal,orth-musculoskeletal,40,18,0.4500,2004,2025,19,18,3,3,1,https://apellica.com/appeal-outcomes/california-imr/fract-bone-repair/orth-musculoskeletal
Surgery,surgery,Cardiac/Circ Problem,cardiac-circ-problem,40,31,0.7750,2019,2025,9,31,0,33,25,https://apellica.com/appeal-outcomes/california-imr/surgery/cardiac-circ-problem
Blepharoplasty,blepharoplasty,Vision,vision,40,13,0.3250,2002,2025,40,0,0,8,2,https://apellica.com/appeal-outcomes/california-imr/blepharoplasty/vision
Excess Skin Removal,excess-skin-removal,Morbid Obesity,morbid-obesity,40,11,0.2750,2005,2018,40,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/excess-skin-removal/morbid-obesity
Inpt Admission,inpt-admission,Mental Disorder,mental-disorder,39,13,0.3333,2005,2022,39,0,0,2,0,https://apellica.com/appeal-outcomes/california-imr/inpt-admission/mental-disorder
SCP Consult Refer,scp-consult-refer,Cardiac/Circ Problem,cardiac-circ-problem,38,25,0.6579,2002,2025,38,0,0,13,10,https://apellica.com/appeal-outcomes/california-imr/scp-consult-refer/cardiac-circ-problem
MRI,mri,Prevention/Good Hlth,prevention-good-hlth,38,16,0.4211,2002,2025,22,16,0,6,5,https://apellica.com/appeal-outcomes/california-imr/mri/prevention-good-hlth
Vision Therapy,vision-therapy,Vision,vision,38,7,0.1842,2002,2023,20,18,0,2,0,https://apellica.com/appeal-outcomes/california-imr/vision-therapy/vision
Acute Psych,acute-psych,Mental Disorder,mental-disorder,38,29,0.7632,2020,2025,38,0,0,30,23,https://apellica.com/appeal-outcomes/california-imr/acute-psych/mental-disorder
Biologics,biologics,CNS/ Neuromusc Dis,cns-neuromusc-dis,37,34,0.9189,2016,2025,31,6,0,29,27,https://apellica.com/appeal-outcomes/california-imr/biologics/cns-neuromusc-dis
Colonoscopy/Sigmoid,colonoscopy-sigmoid,Prevention/Good Hlth,prevention-good-hlth,37,12,0.3243,2006,2025,32,5,0,3,1,https://apellica.com/appeal-outcomes/california-imr/colonoscopy-sigmoid/prevention-good-hlth
Other,other,Dental Problems,dental-problems,36,18,0.5000,2002,2025,34,0,2,5,3,https://apellica.com/appeal-outcomes/california-imr/other/dental-problems
Anti-inflammatories,anti-inflammatories,Digestive System/ GI,digestive-system-gi,36,25,0.6944,2006,2025,32,4,0,5,3,https://apellica.com/appeal-outcomes/california-imr/anti-inflammatories/digestive-system-gi
Lab Work,lab-work,GU/ Kidney Disorder,gu-kidney-disorder,36,7,0.1944,2014,2026,2,34,0,29,6,https://apellica.com/appeal-outcomes/california-imr/lab-work/gu-kidney-disorder
Extracorp Shock Wave,extracorp-shock-wave,Foot Disorder,foot-disorder,36,8,0.2222,2005,2016,7,29,0,0,0,https://apellica.com/appeal-outcomes/california-imr/extracorp-shock-wave/foot-disorder
Pain Management,pain-management,Orth/Musculoskeletal,orth-musculoskeletal,35,13,0.3714,2002,2018,35,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/pain-management/orth-musculoskeletal
Emergency Room,emergency-room,Skin Disorders,skin-disorders,35,9,0.2571,2008,2025,0,0,35,1,1,https://apellica.com/appeal-outcomes/california-imr/emergency-room/skin-disorders
Antacids,antacids,Digestive System/ GI,digestive-system-gi,35,19,0.5429,2002,2025,33,2,0,5,5,https://apellica.com/appeal-outcomes/california-imr/antacids/digestive-system-gi
Tx for Allergies,tx-for-allergies,Respiratory System,respiratory-system,34,21,0.6176,2002,2018,34,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/tx-for-allergies/respiratory-system
Endoscopy,endoscopy,Digestive System/ GI,digestive-system-gi,34,19,0.5588,2019,2025,25,9,0,16,10,https://apellica.com/appeal-outcomes/california-imr/endoscopy/digestive-system-gi
Weight Control,weight-control,Cardiac/Circ Problem,cardiac-circ-problem,34,26,0.7647,2016,2025,34,0,0,32,24,https://apellica.com/appeal-outcomes/california-imr/weight-control/cardiac-circ-problem
Weight Control,weight-control,Morbid Obesity,morbid-obesity,34,20,0.5882,2001,2019,34,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/weight-control/morbid-obesity
Lab Work,lab-work,Infectious Disease,infectious-disease,33,13,0.3939,2008,2025,6,27,0,15,8,https://apellica.com/appeal-outcomes/california-imr/lab-work/infectious-disease
SCP Consult Refer,scp-consult-refer,CNS/ Neuromusc Dis,cns-neuromusc-dis,33,16,0.4848,2002,2024,33,0,0,5,5,https://apellica.com/appeal-outcomes/california-imr/scp-consult-refer/cns-neuromusc-dis
CT Scan,ct-scan,Digestive System/ GI,digestive-system-gi,33,17,0.5152,2005,2025,30,1,2,11,8,https://apellica.com/appeal-outcomes/california-imr/ct-scan/digestive-system-gi
Sleep Study,sleep-study,Respiratory System,respiratory-system,32,13,0.4063,2005,2019,29,2,1,0,0,https://apellica.com/appeal-outcomes/california-imr/sleep-study/respiratory-system
Genetic/Genomic Test,genetic-genomic-test,Genetic Diseases,genetic-diseases,32,20,0.6250,2018,2025,12,20,0,15,10,https://apellica.com/appeal-outcomes/california-imr/genetic-genomic-test/genetic-diseases
Acute Psych/Dischg,acute-psych-dischg,Mental Disorder,mental-disorder,32,23,0.7188,2003,2020,32,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/acute-psych-dischg/mental-disorder
SCP Consult Refer,scp-consult-refer,Skin Disorders,skin-disorders,31,23,0.7419,2002,2025,31,0,0,4,3,https://apellica.com/appeal-outcomes/california-imr/scp-consult-refer/skin-disorders
Genetic/Genomic Test,genetic-genomic-test,Pregnancy/Childbirth,pregnancy-childbirth,31,15,0.4839,2019,2025,6,25,0,12,4,https://apellica.com/appeal-outcomes/california-imr/genetic-genomic-test/pregnancy-childbirth
Admission,admission,Cardiac/Circ Problem,cardiac-circ-problem,31,9,0.2903,2007,2025,28,2,1,10,5,https://apellica.com/appeal-outcomes/california-imr/admission/cardiac-circ-problem
OON/ Acad Ctr Ref,oon-acad-ctr-ref,Cancer,cancer,31,13,0.4194,2003,2016,23,7,1,0,0,https://apellica.com/appeal-outcomes/california-imr/oon-acad-ctr-ref/cancer
Vein Ablation,vein-ablation,Cardiac/Circ Problem,cardiac-circ-problem,31,14,0.4516,2019,2025,19,12,0,21,10,https://apellica.com/appeal-outcomes/california-imr/vein-ablation/cardiac-circ-problem
Anti-hypertensives,anti-hypertensives,Cardiac/Circ Problem,cardiac-circ-problem,31,8,0.2581,2005,2023,31,0,0,4,3,https://apellica.com/appeal-outcomes/california-imr/anti-hypertensives/cardiac-circ-problem
Hernia Repair,hernia-repair,Digestive System/ GI,digestive-system-gi,30,12,0.4000,2002,2025,24,5,1,4,2,https://apellica.com/appeal-outcomes/california-imr/hernia-repair/digestive-system-gi
Emergency Room,emergency-room,CNS/ Neuromusc Dis,cns-neuromusc-dis,30,18,0.6000,2008,2023,0,0,30,2,2,https://apellica.com/appeal-outcomes/california-imr/emergency-room/cns-neuromusc-dis
Laminectomy,laminectomy,Orth/Musculoskeletal,orth-musculoskeletal,30,11,0.3667,2003,2025,25,5,0,14,5,https://apellica.com/appeal-outcomes/california-imr/laminectomy/orth-musculoskeletal
Breast Augmentation,breast-augmentation,Mental Disorder,mental-disorder,30,22,0.7333,2014,2025,30,0,0,13,11,https://apellica.com/appeal-outcomes/california-imr/breast-augmentation/mental-disorder
Sleep Study,sleep-study,CNS/ Neuromusc Dis,cns-neuromusc-dis,30,15,0.5000,2009,2025,29,1,0,15,10,https://apellica.com/appeal-outcomes/california-imr/sleep-study/cns-neuromusc-dis
Anti-inflammatories,anti-inflammatories,Skin Disorders,skin-disorders,30,18,0.6000,2015,2025,29,1,0,6,5,https://apellica.com/appeal-outcomes/california-imr/anti-inflammatories/skin-disorders
OON Referral,oon-referral,Orth/Musculoskeletal,orth-musculoskeletal,29,4,0.1379,2002,2025,28,1,0,4,1,https://apellica.com/appeal-outcomes/california-imr/oon-referral/orth-musculoskeletal
CT Scan,ct-scan,Endocrine/Metabolic,endocrine-metabolic,29,10,0.3448,2013,2025,10,19,0,21,4,https://apellica.com/appeal-outcomes/california-imr/ct-scan/endocrine-metabolic
OON Referral,oon-referral,Cancer,cancer,29,12,0.4138,2002,2025,26,2,1,4,2,https://apellica.com/appeal-outcomes/california-imr/oon-referral/cancer
RTC,rtc,Autism Spectrum,autism-spectrum,29,26,0.8966,2020,2025,29,0,0,26,23,https://apellica.com/appeal-outcomes/california-imr/rtc/autism-spectrum
Non-FDA Approved Use,non-fda-approved-use,Digestive System/ GI,digestive-system-gi,29,12,0.4138,2003,2009,27,2,0,0,0,https://apellica.com/appeal-outcomes/california-imr/non-fda-approved-use/digestive-system-gi
Lab Work,lab-work,Mental Disorder,mental-disorder,29,2,0.0690,2015,2025,4,25,0,3,1,https://apellica.com/appeal-outcomes/california-imr/lab-work/mental-disorder
Ultrasound,ultrasound,Cancer,cancer,28,5,0.1786,2003,2025,14,14,0,16,4,https://apellica.com/appeal-outcomes/california-imr/ultrasound/cancer
Anti-Psychotic,anti-psychotic,Mental Disorder,mental-disorder,28,11,0.3929,2005,2025,24,4,0,9,4,https://apellica.com/appeal-outcomes/california-imr/anti-psychotic/mental-disorder
Cognitive Therapy,cognitive-therapy,Mental Disorder,mental-disorder,28,14,0.5000,2003,2025,24,4,0,3,1,https://apellica.com/appeal-outcomes/california-imr/cognitive-therapy/mental-disorder
Oxygen,oxygen,Respiratory System,respiratory-system,28,5,0.1786,2002,2025,28,0,0,3,1,https://apellica.com/appeal-outcomes/california-imr/oxygen/respiratory-system
Formulary v Non Form,formulary-v-non-form,CNS/ Neuromusc Dis,cns-neuromusc-dis,28,18,0.6429,2004,2011,26,2,0,0,0,https://apellica.com/appeal-outcomes/california-imr/formulary-v-non-form/cns-neuromusc-dis
Septoplasty,septoplasty,Ears/Nose/Throat,ears-nose-throat,28,18,0.6429,2001,2024,25,3,0,5,4,https://apellica.com/appeal-outcomes/california-imr/septoplasty/ears-nose-throat
Orthotics,orthotics,Orth/Musculoskeletal,orth-musculoskeletal,28,16,0.5714,2003,2023,27,1,0,8,7,https://apellica.com/appeal-outcomes/california-imr/orthotics/orth-musculoskeletal
IDET,idet,Orth/Musculoskeletal,orth-musculoskeletal,28,2,0.0714,2002,2016,3,25,0,0,0,https://apellica.com/appeal-outcomes/california-imr/idet/orth-musculoskeletal
Special Bed,special-bed,Autism Spectrum,autism-spectrum,28,23,0.8214,2019,2025,28,0,0,26,21,https://apellica.com/appeal-outcomes/california-imr/special-bed/autism-spectrum
Analgesic Rx,analgesic-rx,Orth/Musculoskeletal,orth-musculoskeletal,28,2,0.0714,2005,2017,25,2,1,0,0,https://apellica.com/appeal-outcomes/california-imr/analgesic-rx/orth-musculoskeletal
Inpt Admission,inpt-admission,Trauma/ Injuries,trauma-injuries,28,11,0.3929,2003,2025,27,1,0,12,8,https://apellica.com/appeal-outcomes/california-imr/inpt-admission/trauma-injuries
Non-FDA Approved Use,non-fda-approved-use,Respiratory System,respiratory-system,28,10,0.3571,2003,2011,23,5,0,0,0,https://apellica.com/appeal-outcomes/california-imr/non-fda-approved-use/respiratory-system
Cochlear Implant,cochlear-implant,Ears/Nose/Throat,ears-nose-throat,28,9,0.3214,2004,2025,27,1,0,11,5,https://apellica.com/appeal-outcomes/california-imr/cochlear-implant/ears-nose-throat
Skill Nsg Vsts,skill-nsg-vsts,CNS/ Neuromusc Dis,cns-neuromusc-dis,28,17,0.6071,2002,2025,28,0,0,5,2,https://apellica.com/appeal-outcomes/california-imr/skill-nsg-vsts/cns-neuromusc-dis
Partial Hospital,partial-hospital,Autism Spectrum,autism-spectrum,28,17,0.6071,2002,2025,28,0,0,9,7,https://apellica.com/appeal-outcomes/california-imr/partial-hospital/autism-spectrum
Formulary v Non Form,formulary-v-non-form,Orth/Musculoskeletal,orth-musculoskeletal,27,11,0.4074,2003,2010,27,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/formulary-v-non-form/orth-musculoskeletal
Jaw Surgery,jaw-surgery,Orth/Musculoskeletal,orth-musculoskeletal,27,20,0.7407,2001,2025,27,0,0,4,3,https://apellica.com/appeal-outcomes/california-imr/jaw-surgery/orth-musculoskeletal
Lab Work,lab-work,Orth/Musculoskeletal,orth-musculoskeletal,27,16,0.5926,2010,2025,0,27,0,9,8,https://apellica.com/appeal-outcomes/california-imr/lab-work/orth-musculoskeletal
Acupuncture,acupuncture,CNS/ Neuromusc Dis,cns-neuromusc-dis,27,14,0.5185,2003,2024,27,0,0,3,1,https://apellica.com/appeal-outcomes/california-imr/acupuncture/cns-neuromusc-dis
SCP Consult Refer,scp-consult-refer,Morbid Obesity,morbid-obesity,27,18,0.6667,2001,2017,27,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/scp-consult-refer/morbid-obesity
Dental Anesthesia,dental-anesthesia,Dental Problems,dental-problems,27,14,0.5185,2005,2022,27,0,0,3,2,https://apellica.com/appeal-outcomes/california-imr/dental-anesthesia/dental-problems
Formulary v Non Form,formulary-v-non-form,Digestive System/ GI,digestive-system-gi,27,5,0.1852,2004,2011,27,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/formulary-v-non-form/digestive-system-gi
Ultrasound,ultrasound,Cardiac/Circ Problem,cardiac-circ-problem,26,12,0.4615,2010,2025,19,7,0,8,7,https://apellica.com/appeal-outcomes/california-imr/ultrasound/cardiac-circ-problem
Speech Therapy,speech-therapy,Genetic Diseases,genetic-diseases,26,19,0.7308,2002,2024,25,1,0,6,5,https://apellica.com/appeal-outcomes/california-imr/speech-therapy/genetic-diseases
Interferon,interferon,Infectious Disease,infectious-disease,26,7,0.2692,2002,2024,24,2,0,1,1,https://apellica.com/appeal-outcomes/california-imr/interferon/infectious-disease
CT Scan,ct-scan,Respiratory System,respiratory-system,26,10,0.3846,2002,2024,20,6,0,7,3,https://apellica.com/appeal-outcomes/california-imr/ct-scan/respiratory-system
Formulary v Non Form,formulary-v-non-form,Cardiac/Circ Problem,cardiac-circ-problem,26,6,0.2308,2004,2011,26,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/formulary-v-non-form/cardiac-circ-problem
MRI,mri,Cardiac/Circ Problem,cardiac-circ-problem,26,10,0.3846,2003,2025,23,3,0,10,5,https://apellica.com/appeal-outcomes/california-imr/mri/cardiac-circ-problem
Radiofreq Ablat,radiofreq-ablat,Cancer,cancer,25,12,0.4800,2002,2025,4,21,0,5,4,https://apellica.com/appeal-outcomes/california-imr/radiofreq-ablat/cancer
Analgesics,analgesics,CNS/ Neuromusc Dis,cns-neuromusc-dis,25,8,0.3200,2005,2017,24,1,0,0,0,https://apellica.com/appeal-outcomes/california-imr/analgesics/cns-neuromusc-dis
CT Scan,ct-scan,CNS/ Neuromusc Dis,cns-neuromusc-dis,25,7,0.2800,2003,2022,20,5,0,2,0,https://apellica.com/appeal-outcomes/california-imr/ct-scan/cns-neuromusc-dis
Skin Resurfacing,skin-resurfacing,Skin Disorders,skin-disorders,25,11,0.4400,2002,2022,20,5,0,3,3,https://apellica.com/appeal-outcomes/california-imr/skin-resurfacing/skin-disorders
Sedatives/ Hypnotics,sedatives-hypnotics,Mental Disorder,mental-disorder,25,7,0.2800,2004,2025,22,3,0,11,3,https://apellica.com/appeal-outcomes/california-imr/sedatives-hypnotics/mental-disorder
Vein Stripping,vein-stripping,Cardiac/Circ Problem,cardiac-circ-problem,25,6,0.2400,2002,2022,18,7,0,1,0,https://apellica.com/appeal-outcomes/california-imr/vein-stripping/cardiac-circ-problem
Hearing Aid,hearing-aid,Ears/Nose/Throat,ears-nose-throat,25,9,0.3600,2004,2025,22,3,0,3,1,https://apellica.com/appeal-outcomes/california-imr/hearing-aid/ears-nose-throat
Genetic/Genomic Test,genetic-genomic-test,Cardiac/Circ Problem,cardiac-circ-problem,24,14,0.5833,2018,2024,2,22,0,15,9,https://apellica.com/appeal-outcomes/california-imr/genetic-genomic-test/cardiac-circ-problem
Ultrasound,ultrasound,OB-GYN/ Pregnancy,ob-gyn-pregnancy,24,8,0.3333,2003,2019,15,9,0,0,0,https://apellica.com/appeal-outcomes/california-imr/ultrasound/ob-gyn-pregnancy
Hysterectomy,hysterectomy,GU/ Kidney Disorder,gu-kidney-disorder,24,9,0.3750,2019,2025,24,0,0,19,7,https://apellica.com/appeal-outcomes/california-imr/hysterectomy/gu-kidney-disorder
Formulary v Non Form,formulary-v-non-form,Mental Disorder,mental-disorder,24,15,0.6250,2003,2011,24,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/formulary-v-non-form/mental-disorder
Epileptic Medication,epileptic-medication,CNS/ Neuromusc Dis,cns-neuromusc-dis,24,17,0.7083,2017,2025,23,1,0,13,10,https://apellica.com/appeal-outcomes/california-imr/epileptic-medication/cns-neuromusc-dis
Bariatric Surgery,bariatric-surgery,Morbid Obesity,morbid-obesity,24,9,0.3750,2001,2005,13,11,0,0,0,https://apellica.com/appeal-outcomes/california-imr/bariatric-surgery/morbid-obesity
Emergency Room,emergency-room,GU/ Kidney Disorder,gu-kidney-disorder,24,14,0.5833,2008,2022,1,0,23,2,1,https://apellica.com/appeal-outcomes/california-imr/emergency-room/gu-kidney-disorder
Glucagon-Like Peptide-1 (GLP),glucagon-like-peptide-1-glp,CNS/ Neuromusc Dis,cns-neuromusc-dis,24,20,0.8333,2025,2025,24,0,0,24,20,https://apellica.com/appeal-outcomes/california-imr/glucagon-like-peptide-1-glp/cns-neuromusc-dis
Breast Surgery,breast-surgery,OB-GYN/ Pregnancy,ob-gyn-pregnancy,24,10,0.4167,2002,2017,22,1,1,0,0,https://apellica.com/appeal-outcomes/california-imr/breast-surgery/ob-gyn-pregnancy
MRI,mri,Trauma/ Injuries,trauma-injuries,24,7,0.2917,2005,2024,21,3,0,3,2,https://apellica.com/appeal-outcomes/california-imr/mri/trauma-injuries
Radiofreq Ablat,radiofreq-ablat,CNS/ Neuromusc Dis,cns-neuromusc-dis,23,12,0.5217,2002,2025,1,22,0,11,10,https://apellica.com/appeal-outcomes/california-imr/radiofreq-ablat/cns-neuromusc-dis
Speech Therapy,speech-therapy,Mental Disorder,mental-disorder,23,17,0.7391,2002,2025,23,0,0,1,1,https://apellica.com/appeal-outcomes/california-imr/speech-therapy/mental-disorder
Inpt Discharge,inpt-discharge,Orth/Musculoskeletal,orth-musculoskeletal,23,1,0.0435,2005,2025,23,0,0,9,0,https://apellica.com/appeal-outcomes/california-imr/inpt-discharge/orth-musculoskeletal
Ligament/Tendon Repair,ligament-tendon-repair,Orth/Musculoskeletal,orth-musculoskeletal,23,7,0.3043,2019,2025,14,9,0,16,4,https://apellica.com/appeal-outcomes/california-imr/ligament-tendon-repair/orth-musculoskeletal
Biologics,biologics,Cancer,cancer,23,7,0.3043,2018,2025,16,7,0,13,4,https://apellica.com/appeal-outcomes/california-imr/biologics/cancer
Allergy Testing,allergy-testing,Pediatrics,pediatrics,23,0,0.0000,2019,2024,1,22,0,16,0,https://apellica.com/appeal-outcomes/california-imr/allergy-testing/pediatrics
Stent,stent,Cardiac/Circ Problem,cardiac-circ-problem,23,16,0.6957,2007,2025,12,11,0,10,6,https://apellica.com/appeal-outcomes/california-imr/stent/cardiac-circ-problem
Card Valve Repl,card-valve-repl,Cardiac/Circ Problem,cardiac-circ-problem,23,17,0.7391,2003,2023,13,10,0,11,8,https://apellica.com/appeal-outcomes/california-imr/card-valve-repl/cardiac-circ-problem
Physical Therapy,physical-therapy,Pediatrics,pediatrics,22,17,0.7727,2007,2024,22,0,0,2,2,https://apellica.com/appeal-outcomes/california-imr/physical-therapy/pediatrics
Lab Work,lab-work,CNS/ Neuromusc Dis,cns-neuromusc-dis,22,7,0.3182,2008,2023,6,16,0,2,0,https://apellica.com/appeal-outcomes/california-imr/lab-work/cns-neuromusc-dis
Admission,admission,CNS/ Neuromusc Dis,cns-neuromusc-dis,22,11,0.5000,2002,2025,22,0,0,8,5,https://apellica.com/appeal-outcomes/california-imr/admission/cns-neuromusc-dis
Admission,admission,Orth/Musculoskeletal,orth-musculoskeletal,22,10,0.4545,2007,2024,22,0,0,11,6,https://apellica.com/appeal-outcomes/california-imr/admission/orth-musculoskeletal
Inpt Discharge,inpt-discharge,Cardiac/Circ Problem,cardiac-circ-problem,22,4,0.1818,2006,2024,22,0,0,13,2,https://apellica.com/appeal-outcomes/california-imr/inpt-discharge/cardiac-circ-problem
Mastectomy,mastectomy,Mental Disorder,mental-disorder,22,21,0.9545,2019,2024,22,0,0,7,7,https://apellica.com/appeal-outcomes/california-imr/mastectomy/mental-disorder
Analgesics,analgesics,Chron Pain Synd,chron-pain-synd,22,3,0.1364,2009,2017,21,1,0,0,0,https://apellica.com/appeal-outcomes/california-imr/analgesics/chron-pain-synd
Emergency Room,emergency-room,Trauma/ Injuries,trauma-injuries,22,12,0.5455,2008,2022,3,0,19,1,1,https://apellica.com/appeal-outcomes/california-imr/emergency-room/trauma-injuries
Admission,admission,Trauma/ Injuries,trauma-injuries,22,15,0.6818,2011,2025,20,0,2,11,9,https://apellica.com/appeal-outcomes/california-imr/admission/trauma-injuries
Social Skills Thpy,social-skills-thpy,Autism Spectrum,autism-spectrum,21,9,0.4286,2009,2018,20,1,0,0,0,https://apellica.com/appeal-outcomes/california-imr/social-skills-thpy/autism-spectrum
Shoe Inserts,shoe-inserts,Foot Disorder,foot-disorder,21,17,0.8095,2010,2025,21,0,0,5,5,https://apellica.com/appeal-outcomes/california-imr/shoe-inserts/foot-disorder
Hair Removal,hair-removal,Mental Disorder,mental-disorder,21,18,0.8571,2019,2025,21,0,0,7,6,https://apellica.com/appeal-outcomes/california-imr/hair-removal/mental-disorder
Non-FDA Approved Use,non-fda-approved-use,Cancer,cancer,21,7,0.3333,2004,2010,13,8,0,0,0,https://apellica.com/appeal-outcomes/california-imr/non-fda-approved-use/cancer
