treatment,treatment_slug,diagnosis_category,diagnosis_slug,decisions,overturned,overturn_rate,year_min,year_max,medical_necessity,experimental,urgent,decisions_last_5y,overturned_last_5y,apellica_page
Formulary v Non Form,formulary-v-non-form,Immuno Disorders,immuno-disorders,6,1,0.1667,2006,2009,6,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/formulary-v-non-form/immuno-disorders
Not Applicable,not-applicable,Not Applicable,not-applicable,6,0,0.0000,2013,2017,4,2,0,0,0,https://apellica.com/appeal-outcomes/california-imr/not-applicable/not-applicable
ABI Vest,abi-vest,Cardiac/Circ Problem,cardiac-circ-problem,6,2,0.3333,2018,2025,0,6,0,1,1,https://apellica.com/appeal-outcomes/california-imr/abi-vest/cardiac-circ-problem
Imaging Lower Extremities,imaging-lower-extremities,Musculoskeletal,musculoskeletal,6,5,0.8333,2026,2026,6,0,0,6,5,https://apellica.com/appeal-outcomes/california-imr/imaging-lower-extremities/musculoskeletal
Physical Therapy,physical-therapy,Autism Spectrum,autism-spectrum,6,4,0.6667,2008,2024,5,1,0,2,0,https://apellica.com/appeal-outcomes/california-imr/physical-therapy/autism-spectrum
Panniculectomy,panniculectomy,Digestive System/ GI,digestive-system-gi,6,5,0.8333,2011,2020,6,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/panniculectomy/digestive-system-gi
Genetic/Genomic Test,genetic-genomic-test,Immuno Disorders,immuno-disorders,6,2,0.3333,2018,2023,0,6,0,3,1,https://apellica.com/appeal-outcomes/california-imr/genetic-genomic-test/immuno-disorders
Ambulance/Transport,ambulance-transport,Mental Disorder,mental-disorder,6,2,0.3333,2014,2016,1,0,5,0,0,https://apellica.com/appeal-outcomes/california-imr/ambulance-transport/mental-disorder
Pain Medication,pain-medication,Mental Disorder,mental-disorder,6,1,0.1667,2017,2024,6,0,0,4,1,https://apellica.com/appeal-outcomes/california-imr/pain-medication/mental-disorder
MRI,mri,Not Applicable,not-applicable,6,3,0.5000,2003,2017,6,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/mri/not-applicable
Req 2nd Opin/OON,req-2nd-opin-oon,Cancer,cancer,6,4,0.6667,2006,2019,6,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/req-2nd-opin-oon/cancer
Skin Treatment,skin-treatment,Skin Subcutaneous,skin-subcutaneous,6,5,0.8333,2026,2026,5,1,0,6,5,https://apellica.com/appeal-outcomes/california-imr/skin-treatment/skin-subcutaneous
Prosthesis,prosthesis,Cardiac/Circ Problem,cardiac-circ-problem,6,3,0.5000,2018,2024,1,5,0,3,1,https://apellica.com/appeal-outcomes/california-imr/prosthesis/cardiac-circ-problem
